date,ret_eom,permno,shrcd,exchcd,mspread,year,month,size_port,rf,stock_exret,stock_ticker,cusip,comp_name,eps_medest,eps_meanest,eps_stdevest,eps_actual,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,ami_126d,ivol_capm_252d,prc_highprc_252d,betadown_252d,bidaskhl_21d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20000131,20000131,10104,11,3,0.01972024,2000,1,B,0.0041,-0.112577414,ORCL,68389X10,ORACLE CORP,0.07,0.07,0.0,0.085,112.0625,159540.2435,0.0,-0.011042202,0.0111035918,0.6525345445,0.4903846225,0.8265993311,1.5710900435,1.3586956128,-0.136956538,2.2985128467,0.2840579748,0.1373297203,0.0165009648,0.0356123896,0.1560119077,0.2044766005,-0.076735074,,44.786101083,1.0122174147,-0.072655989,0.0,0.0086830584,0.0181180811,0.0356190588,0.0478124218,-0.012193363,0.0355246733,0.0239385087,0.0115861646,-0.0005195,0.0005195003,0.0267725061,0.085319799,0.2141652908,0.9551740212,0.5666484127,0.5726319015,0.3639825922,1.7919725753,-0.184862782,-0.184343281,-0.0005195,-0.081185987,-0.401170266,-0.080666486,-0.398603221,0.1903046721,1.0271959491,1.4771022606,8.3672408763,0.0981747189,0.4136774499,0.0382203466,0.1736433339,5.0,-0.000701928,0.0452140337,,-0.174249635,0.1345867327,0.0617923477,0.0326098186,-0.003789505,-0.000901374,0.3363438211,,0.0624896621,-0.071290908,0.1225441028,-1.964541191,-0.19605427,-0.434322426,0.5612003451,1.1041925424,0.7378188843,0.6550523126,1.5368361207,0.2835588783,0.485462426,-0.026608824,1.7985738576,0.1049455889,0.7462876722,0.9987217608,0.9079004818,6.0,-6.077840591,8.9684277057,14960.42038,-2.926648,-0.309341882,0.0180851324,0.0412397453,0.0229291364,0.0019078948,-0.015152058,0.0568048462,0.0083458065,0.0116938959,0.0097309742,0.0099397115,0.00760227,0.0055767998,0.0068934072,0.0146657635,0.1174855526,19.069348574,1.7744664563,-0.000353266,-0.911064808,0.6619812808,0.937690201,0.04600773,1.43446272,-0.35210122,4.85203465,0.04551457,1.05954466,0.04293961,0.36994213,0.09272304,0.17465475,0.049724,1.15072018,0.00308968,355671981.004395,0.69082642,0.00456038,0.5372032,0.00275007,0.00203288,8.298e-05,0.04017056,1.0,1.4373296,0.01663358,0.47387238,1.9416481067,2.0583527275,180,0.8289302386,1.7176696986,-0.603530837,0.6082154945
20000131,20000131,87055,11,3,0.01757027,2000,1,B,0.0041,0.0685027414,COST,22160K10,COSTCO WHOLESALE,0.39,0.38,0.01,0.41,91.25,20292.81375,0.0,0.018689277,-0.01851678,-0.004771643,0.2734374985,0.1451990636,0.0013651923,0.2701298678,0.0043290055,4.6067960856,0.1480519474,0.0129409383,0.0310604037,0.0403221636,0.1989164225,0.1312801874,0.3777399703,0.1568618831,-0.283261766,0.403219418,0.5547809512,0.0399365703,0.0,0.0241357729,0.0570195793,0.0890344985,-0.032014919,0.0742835344,0.0007337774,0.073549757,-0.00134044,0.0254762125,0.0049279141,0.0759544203,0.031327434,0.4677738217,0.2012631311,0.2882832121,0.1435303804,0.2213208589,0.0082173207,0.0082508983,-3.3578e-05,-0.056701125,-1.071090214,-0.031224913,-0.589841882,0.6208381391,3.5138027297,3.9893044741,7.0647617871,0.0,0.0929079157,0.0181521686,0.1052631579,8.0,0.0497967993,0.1586157429,0.0424488629,0.4238742695,0.1433436936,0.0454929927,0.0215205043,-0.007855596,-0.003377645,,-0.038963622,0.1318111578,0.0145883566,-0.01767655,3.7747349649,-1.522789502,0.1515663192,0.1733177631,0.5608217169,0.3426927026,0.2412976731,2.1617677411,0.1253648067,0.1445620061,0.0075323451,2.0903391251,0.0141600528,0.628235911,0.4505288475,0.7563337684,5.0,-4.654953656,7.2773098412,3596.9528602,0.9406231793,0.4911846758,0.0069682212,0.3698354054,0.1769260313,0.0458644627,0.0115038261,1.3529928052,0.0253942606,0.0463643441,0.0075360668,0.0,-0.003051474,0.0,0.1893347954,0.0528561007,0.2492036957,18.13716148,1.1781908685,-0.05551478,0.0472737811,0.3833731718,0.7982058369,0.01699159,0.34474213,-0.20712227,0.94372396,0.01700519,0.78928097,0.01664771,0.70709877,0.02697848,0.04089979,0.01920134,0.23551908,0.00283195,94539982.657959,0.47160446,0.00535907,0.48438651,0.00225289,0.00238074,0.00020392,0.02014362,0.92463585,0.98285133,0.00782164,0.48777941,1.0870874803,1.101077103,170,1.4485610311,0.988130487,1.1152484032,0.9593557229
20000229,20000229,10104,11,3,0.01608011,2000,2,B,0.0043,0.4820934815,ORCL,68389X10,ORACLE CORP,0.06,0.07,0.0,0.085,49.953125,142233.73075,0.0,-0.011042202,0.0111035871,-0.108477414,1.3561103648,1.9441707488,3.1408775511,2.0355529552,0.0056433186,3.3845309425,0.0090293456,0.1266472876,0.0654742238,0.0383887367,0.1560119077,0.2044766005,-0.076735074,,44.786101083,1.0122174147,-0.072655989,0.0,0.0086830584,0.0181180811,0.0356190588,0.0478124218,-0.012193363,0.0355246733,0.0239385087,0.0115861646,-0.0005195,0.0005195003,0.0267725061,0.085319799,0.2141652908,0.9551740212,0.5666484127,0.5726319015,0.3639825922,1.7919725753,-0.184862782,-0.184343281,-0.0005195,-0.081185987,-0.401170266,-0.080666486,-0.398603221,0.1903046721,1.0271959491,1.4771022606,8.3672408763,0.0981747189,0.4136774499,0.0382203466,0.1736433339,5.0,-0.000701928,0.0452140337,,-0.174249635,0.1345867327,0.0617923477,0.0326098186,-0.003789505,-0.000901374,0.3363438211,,0.0624896621,-0.071290908,0.1225441028,-1.964541191,-0.19605427,-0.434322426,0.5612003451,1.1041925424,0.7378188843,0.6550523126,1.5368361207,0.2835588783,0.485462426,-0.026608824,1.7985738576,0.1049455889,0.7462876722,0.9987217608,0.9079004818,6.0,-6.077840591,8.9684277057,14960.42038,-2.926648,-0.309341882,0.0180851324,0.0462576561,0.0257190751,0.0021400409,-0.016995708,0.0637166652,0.0093612956,0.0131167691,0.0109150058,0.0111491416,0.0085272881,0.0062553657,0.0077466753,0.0164810961,0.0927053833,19.037227813,1.8064288961,0.0878001839,-0.039699248,0.6604879578,0.9437649806,0.03864252,0.34658893,0.04702623,3.00618682,0.02667075,-0.5998553,0.02862444,-0.0221192,0.06931925,0.1197098,0.06076066,0.16459717,0.00232143,488728670.382136,0.76162662,0.00502212,0.54705963,0.0027155,0.00209661,7.743e-05,0.04119338,0.83691099,1.79050691,0.01972024,0.4878695,1.9977428557,1.4752154951,181,0.8907192643,1.720348677,-0.533039131,0.5945108695
20000229,20000229,87055,11,3,0.00832748,2000,2,B,0.0043,0.0097485317,COST,22160K10,COSTCO WHOLESALE,0.39,0.38,0.01,0.41,48.9375,21766.127625,0.0,0.018689277,-0.018516778,0.0726027414,0.1361867699,0.220735784,0.1274131285,0.1010558055,-0.033936653,5.0272726973,-0.03092006,0.0223521021,0.0460378889,0.0407808192,0.1989164225,0.1312801874,0.3777399703,0.1568618831,-0.283261766,0.403219418,0.5547809512,0.0399365703,0.0,0.0241357729,0.0570195793,0.0890344985,-0.032014919,0.0742835344,0.0007337774,0.073549757,-0.00134044,0.0254762125,0.0049279141,0.0759544203,0.031327434,0.4677738217,0.2012631311,0.2882832121,0.1435303804,0.2213208589,0.0082173207,0.0082508983,-3.3578e-05,-0.056701125,-1.071090214,-0.031224913,-0.589841882,0.6208381391,3.5138027297,3.9893044741,7.0647617871,0.0,0.0929079157,0.0181521686,0.1052631579,8.0,0.0497967993,0.1586157429,0.0424488629,0.4238742695,0.1433436936,0.0454929927,0.0215205043,-0.007855596,-0.003377645,,-0.038963622,0.1318111578,0.0145883566,-0.01767655,3.7747349649,-1.522789502,0.1515663192,0.1733177631,0.5608217169,0.3426927026,0.2412976731,2.1617677411,0.1253648067,0.1445620061,0.0075323451,2.0903391251,0.0141600528,0.628235911,0.4505288475,0.7563337684,5.0,-4.654953656,7.2773098412,3596.9528602,0.9406231793,0.4911846758,0.0069682212,0.3448018467,0.1649501952,0.0427599716,0.0107251507,1.2614109167,0.0236753643,0.0432260169,0.0070259627,0.0,-0.002844925,0.0,0.1766550226,0.0493163217,0.2219470556,18.218128412,1.1099815762,-0.429722096,-0.375752335,0.3837611565,0.7746936009,0.02361379,-0.03505742,0.07305966,2.13497953,0.02431743,0.28586258,0.02357638,0.47192169,0.05388617,0.06623702,0.03968788,-0.00879474,0.00302966,102357413.873032,0.42389926,0.00564811,0.44203329,0.00239244,0.00244898,0.00022476,0.02072625,0.94337349,1.23010192,0.01757027,0.50268367,1.1372043426,2.0757311073,171,1.4372475476,1.0053077414,1.1509293899,0.9293411029
20000331,20000331,10104,11,3,0.02093943,2000,3,B,0.0047,0.0466468012,ORCL,68389X10,ORACLE CORP,0.13,0.13,0.0,0.155,74.25,210751.86825,0.0,-0.014145563,0.0142465246,0.4863934815,0.4732718711,1.7371575094,3.0264483202,1.6820468933,0.0218120573,3.006972259,-0.291946322,0.1974054516,0.0416189739,0.0383965725,0.1560119077,0.2044766005,-0.076735074,,44.786101083,1.0122174147,-0.072655989,0.0,0.0086830584,0.0181180811,0.0356190588,0.0478124218,-0.012193363,0.0355246733,0.0239385087,0.0115861646,-0.0005195,0.0005195003,0.0267725061,0.085319799,0.2141652908,0.9551740212,0.5666484127,0.5726319015,0.3639825922,1.7919725753,-0.184862782,-0.184343281,-0.0005195,-0.081185987,-0.401170266,-0.080666486,-0.398603221,0.1903046721,1.0271959491,1.4771022606,8.3672408763,0.0981747189,0.4136774499,0.0382203466,0.1736433339,5.0,-0.000701928,0.0452140337,,-0.174249635,0.1345867327,0.0617923477,0.0326098186,-0.003789505,-0.000901374,0.3363438211,,0.0624896621,-0.071290908,0.1225441028,-1.964541191,-0.19605427,-0.434322426,0.5612003451,1.1041925424,0.7378188843,0.6550523126,1.5368361207,0.2835588783,0.485462426,-0.026608824,1.7985738576,0.1049455889,0.7462876722,0.9987217608,0.9079004818,6.0,-6.077840591,8.9684277057,14960.42038,-2.926648,-0.309341882,0.0180851324,0.0312186983,0.0173574737,0.0014442861,-0.011470185,0.0430015595,0.0063178183,0.0088523391,0.0073663973,0.0075244125,0.0057549573,0.004221666,0.0051989084,0.0110607074,0.0919140931,19.133495518,1.8372989413,0.0370028671,0.1358186087,0.6670128424,0.9334748142,0.04269071,1.67309533,0.01015303,1.93140709,0.04257802,2.06268445,0.04291775,1.99003091,0.08203918,0.14026237,0.04643507,0.80585906,0.00342562,617768974.15,0.64864286,0.00540521,0.48881499,0.00286975,0.00230678,6.405e-05,0.04149915,1.0,1.61392953,0.01608011,0.48802839,2.0154090148,1.750535712,182,0.888951226,1.7191726091,-0.549342023,0.6047021056
20000331,20000331,87055,11,3,0.0147237,2000,3,B,0.0047,0.0544939539,COST,22160K10,COSTCO WHOLESALE,0.27,0.27,0.0,0.26,49.625,22071.90975,0.0,0.0124515142,-0.012374631,0.0140485317,0.0674846642,0.3093645484,0.349999998,0.2186770432,-0.0692607,4.8944953817,0.1400778145,0.0108948946,0.0849114303,0.0367507438,0.1989164225,0.1312801874,0.3777399703,0.1568618831,-0.283261766,0.403219418,0.5547809512,0.0399365703,0.0,0.0241357729,0.0570195793,0.0890344985,-0.032014919,0.0742835344,0.0007337774,0.073549757,-0.00134044,0.0254762125,0.0049279141,0.0759544203,0.031327434,0.4677738217,0.2012631311,0.2882832121,0.1435303804,0.2213208589,0.0082173207,0.0082508983,-3.3578e-05,-0.056701125,-1.071090214,-0.031224913,-0.589841882,0.6208381391,3.5138027297,3.9893044741,7.0647617871,0.0,0.0929079157,0.0181521686,0.1052631579,8.0,0.0497967993,0.1586157429,0.0424488629,0.4238742695,0.1433436936,0.0454929927,0.0215205043,-0.007855596,-0.003377645,,-0.038963622,0.1318111578,0.0145883566,-0.01767655,3.7747349649,-1.522789502,0.1515663192,0.1733177631,0.5608217169,0.3426927026,0.2412976731,2.1617677411,0.1253648067,0.1445620061,0.0075323451,2.0903391251,0.0141600528,0.628235911,0.4505288475,0.7563337684,5.0,-4.654953656,7.2773098412,3596.9528602,0.9406231793,0.4911846758,0.0069682212,0.3400249949,0.162664991,0.0421675791,0.0105765655,1.2439354506,0.023347368,0.0426271678,0.0069286256,0.0,-0.002805512,0.0,0.1742332746,0.0486402486,0.2267451108,18.233578355,1.1203059564,-0.172794746,0.0657218995,0.3992295898,0.7819602717,0.03551645,0.06822156,0.39678865,2.48230582,0.03741762,0.04500884,0.03713147,0.29892598,0.04718979,0.07323944,0.03552768,0.06966069,0.00388804,107053126.714375,0.40227779,0.00570115,0.44089423,0.00269927,0.00261268,0.0002277,0.02249267,0.91580161,0.98753507,0.00832748,0.50199903,1.1718336534,1.781364056,172,1.4382932473,1.0082956842,1.1513366358,0.9253774647
20000428,20000430,10104,11,3,0.02158584,2000,4,B,0.0046,0.0194192153,ORCL,68389X10,ORACLE CORP,0.14,0.13,0.01,0.155,78.0625,221573.30256,0.0,-0.014145563,0.0142465428,0.0513468012,0.3251533609,2.2637362116,2.9999999268,4.6303316282,0.3838862493,1.8485000528,0.0260663498,0.1997036744,-0.024783324,0.0378885483,0.129217434,0.1709979395,-0.138371542,,22.285002682,0.9242131714,-0.127354901,0.0,0.0086830584,0.0181180811,0.0135337046,0.0349658082,-0.021432104,0.0655018821,0.0203372558,0.0451646263,-0.001291202,0.0012912021,0.0330631161,0.0783401914,0.2288559577,1.0339024837,0.6207049653,0.5726319015,0.4083347351,1.359252817,-0.234347606,-0.233056404,-0.001291202,-0.079500438,-0.35155881,-0.078209236,-0.345848987,0.2781582728,1.0688071272,1.5518151316,5.9393376993,0.1004659114,0.3346423097,0.0382203466,0.1736433339,6.0,0.0267991785,0.0339679286,,-0.198994041,0.1293507365,0.1051042612,0.0584375564,0.0166006702,0.0102820997,0.3646037493,,0.0624896621,-0.024007643,0.1028974102,-1.230003822,0.5926499396,-0.445649304,0.6111375873,1.1675007097,0.7378188843,0.7009108682,1.5445443203,0.3056373916,0.541204527,0.0181825361,1.8056966323,0.1080393101,0.7462876722,1.149305407,0.8538811293,6.0,-6.334249361,8.9684277057,16618.036827,-0.072146311,-0.31649239,0.026155326,0.0287770635,0.0159368207,0.0013713114,-0.008258712,0.0421016291,0.0065075575,0.0087953466,0.0074498777,0.0085654679,0.0067066789,0.0042297785,0.007147637,0.0114389697,0.1188047602,19.134345471,1.8121702024,0.1787066879,-0.145865738,0.6668387578,0.9675187409,0.03421771,1.07758524,-0.06296609,0.89305813,0.03364855,0.60156066,0.03287321,1.12397324,0.06431278,0.10925771,0.04231068,1.03610519,0.00352476,767618183.2719,0.60729876,0.00530987,0.41243922,0.0032093,0.00258656,5.399e-05,0.03969116,0.88268551,1.74477066,0.02093943,0.4907154,1.8523891554,1.4244890661,183,1.2933413086,1.7234904314,0.3455694715,0.6090433643
20000428,20000430,87055,11,3,0.01895616,2000,4,B,0.0046,0.0239374559,COST,22160K10,COSTCO WHOLESALE,0.27,0.27,0.0,0.26,52.5625,23378.433375,0.0,0.0124515142,-0.012374626,0.0591939539,0.087671235,0.3784722232,0.239656521,0.0839590513,-0.183617742,5.2076270385,-0.116040953,0.0268253406,0.0242365084,0.0435736686,0.1708528539,0.1434594354,0.4871235445,0.1133170443,-0.339062048,0.4153812611,0.5630429548,0.0333940912,0.0,0.0241357729,0.0407352238,0.0561048035,-0.01536958,0.0739565468,0.0009511344,0.0730054124,-0.00139524,0.0013952396,0.0060016639,0.087602688,0.0315755191,0.4403176219,0.1952879506,0.2929314943,0.1459419651,0.2221801322,0.0067117715,0.0081730873,-0.001461316,-0.058322056,-0.890152756,-0.056926816,-0.868857616,0.5729770996,3.3064514917,3.7144250167,7.0364680833,0.0,0.086808803,0.0181521686,0.1052631579,8.0,0.0674830793,0.1474359275,0.0424488629,0.4658932787,0.1576228252,0.0360184462,0.0172309104,0.0015071793,0.0005796329,,0.0073741346,0.3274293474,0.0145854205,-0.016333438,1.232663797,-0.015617237,0.1817611417,0.1603669087,0.5155471442,0.3639499048,0.2286534543,1.6666629657,0.1238412104,0.1369658947,0.0262771187,2.227470215,0.0074433398,0.6234636544,0.4276416951,0.7481006752,7.0,-4.910344855,7.1913127604,5176.1440089,0.9948518779,0.7072820484,0.0082941383,0.3528057619,0.158388543,0.0394027686,0.0087761227,1.2148574947,0.0231155352,0.0436918926,0.0075970873,0.0,-0.002883512,0.0,0.1711495734,0.0479019633,0.2179835234,18.236717177,1.1108046913,-0.268703502,0.0155530257,0.4438601295,0.7359062354,0.04740305,0.93671502,0.10184452,2.38488085,0.04068448,0.61243599,0.04080182,-0.07347521,0.08015111,0.15007216,0.05355857,1.18158715,0.00295351,112379278.659879,0.44789194,0.00555391,0.42605586,0.00303226,0.00274342,0.00024011,0.02589019,0.9394024,1.13548539,0.0147237,0.49365487,1.2431015972,2.6612810092,173,1.4101535239,0.9859387078,1.0597168811,0.9359523801
20000531,20000531,10104,11,3,0.01566418,2000,5,B,0.005,-0.105860044,ORCL,68389X10,ORACLE CORP,0.14,0.13,0.01,0.155,79.9375,226895.31944,0.0,-0.014145563,0.0142465436,0.0240192153,0.5627150321,2.28252294,3.1018061661,4.7690529937,0.6812932934,1.9946209552,-0.08314088,0.2094455013,0.0517062983,0.0320728179,0.129217434,0.1709979395,-0.138371542,,22.285002682,0.9242131714,-0.127354901,0.0,0.0086830584,0.0181180811,0.0135337046,0.0349658082,-0.021432104,0.0655018821,0.0203372558,0.0451646263,-0.001291202,0.0012912021,0.0330631161,0.0783401914,0.2288559577,1.0339024837,0.6207049653,0.5726319015,0.4083347351,1.359252817,-0.234347606,-0.233056404,-0.001291202,-0.079500438,-0.35155881,-0.078209236,-0.345848987,0.2781582728,1.0688071272,1.5518151316,5.9393376993,0.1004659114,0.3346423097,0.0382203466,0.1736433339,6.0,0.0267991785,0.0339679286,,-0.198994041,0.1293507365,0.1051042612,0.0584375564,0.0166006702,0.0102820997,0.3646037493,,0.0624896621,-0.024007643,0.1028974102,-1.230003822,0.5926499396,-0.445649304,0.6111375873,1.1675007097,0.7378188843,0.7009108682,1.5445443203,0.3056373916,0.541204527,0.0181825361,1.8056966323,0.1080393101,0.7462876722,1.149305407,0.8538811293,6.0,-6.334249361,8.9684277057,16618.036827,-0.072146311,-0.31649239,0.026155326,0.0281020737,0.0155630094,0.0013391462,-0.008064997,0.0411141006,0.0063549173,0.0085890445,0.0072751346,0.0083645577,0.0065493682,0.0041305656,0.0069786201,0.0111684777,0.1159764643,19.139012896,1.7465545018,0.268616806,0.3005351298,0.6699241068,0.9714761573,0.04311434,0.78921422,0.0507032,1.98162747,0.04179542,0.06296997,0.03592905,-0.22357161,0.08670581,0.197,0.07164549,0.75351437,0.00223778,938154945.54575,0.49640089,0.0056891,0.39335192,0.00303784,0.00268648,4.886e-05,0.0390575,0.90388693,1.96407952,0.02158584,0.50555731,1.7755851377,1.8475222716,184,1.2703229184,1.7257844459,0.2932792618,0.6160709411
20000531,20000531,87055,11,3,0.01573047,2000,5,B,0.005,-0.414248561,COST,22160K10,COSTCO WHOLESALE,0.27,0.27,0.0,0.26,54.0625,24045.594375,0.0,0.0124515142,-0.012374629,0.0285374559,0.0740740737,0.3089494173,0.4063545144,0.2988417016,-0.110424708,4.5341879824,-0.104247101,0.0388966639,0.0557672242,0.0382625495,0.1708528539,0.1434594354,0.4871235445,0.1133170443,-0.339062048,0.4153812611,0.5630429548,0.0333940912,0.0,0.0241357729,0.0407352238,0.0561048035,-0.01536958,0.0739565468,0.0009511344,0.0730054124,-0.00139524,0.0013952396,0.0060016639,0.087602688,0.0315755191,0.4403176219,0.1952879506,0.2929314943,0.1459419651,0.2221801322,0.0067117715,0.0081730873,-0.001461316,-0.058322056,-0.890152756,-0.056926816,-0.868857616,0.5729770996,3.3064514917,3.7144250167,7.0364680833,0.0,0.086808803,0.0181521686,0.1052631579,8.0,0.0674830793,0.1474359275,0.0424488629,0.4658932787,0.1576228252,0.0360184462,0.0172309104,0.0015071793,0.0005796329,,0.0073741346,0.3274293474,0.0145854205,-0.016333438,1.232663797,-0.015617237,0.1817611417,0.1603669087,0.5155471442,0.3639499048,0.2286534543,1.6666629657,0.1238412104,0.1369658947,0.0262771187,2.227470215,0.0074433398,0.6234636544,0.4276416951,0.7481006752,7.0,-4.910344855,7.1913127604,5176.1440089,0.9948518779,0.7072820484,0.0082941383,0.3430169316,0.1539939476,0.0383095126,0.0085326233,1.1811504659,0.0224741793,0.042479632,0.0073863011,0.0,-0.002803507,0.0,0.1664410905,0.046584136,0.2412746598,18.267143522,1.0584651461,-0.139685365,0.0295852225,0.4535104595,0.7719719314,0.03270865,0.0175855,-0.60988589,0.35490114,0.03431484,-0.10962546,0.03180677,-0.30006624,0.04033507,0.05875576,0.03515455,-0.32973205,0.00240828,116209599.531313,0.45942034,0.00540371,0.42758826,0.00324137,0.00274889,0.00023844,0.02709546,0.94124048,1.05730844,0.01895616,0.48537255,1.1154202304,1.3135060338,174,1.4215320558,0.9732869635,1.0559715065,1.0035436366
